id;TW;tahun;kec_id;status
c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db1;04;2023;1674011;6
3f29065b-7893-44e9-b5cd-dc60b43c5e21;04;2023;1674012;6
8e372d8e-2aef-4cd7-bd22-0e1f83f1e0f1;04;2023;1674021;6
e1a08f64-40e3-4888-9da2-74cfb4f62321;04;2023;1674022;6
9977b6ab-5e0f-4e06-b8e2-41c6a2c947f1;04;2023;1674031;6
f9732dd7-0b90-4970-ba82-0dfc9c7f87e1;04;2023;1674032;6
8b4fb108-19b7-45f7-b25b-9e71a5f348a1;04;2023;1674041;6
4e028e62-b477-4a1c-91c2-8100a67b0a61;04;2023;1674042;6
c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db2;03;2023;1674011;6
3f29065b-7893-44e9-b5cd-dc60b43c5e22;03;2023;1674012;6
8e372d8e-2aef-4cd7-bd22-0e1f83f1e0f2;03;2023;1674021;6
e1a08f64-40e3-4888-9da2-74cfb4f62322;03;2023;1674022;6
9977b6ab-5e0f-4e06-b8e2-41c6a2c947f2;03;2023;1674031;6
f9732dd7-0b90-4970-ba82-0dfc9c7f87e2;03;2023;1674032;6
8b4fb108-19b7-45f7-b25b-9e71a5f348a2;03;2023;1674041;6
4e028e62-b477-4a1c-91c2-8100a67b0a62;03;2023;1674042;6
